WEEK_BEGIN,WORK_LOCATION,SHIFT_TIME,DEPARTMENT_GROUP,ACTUAL_ATTENDANCE_RATE,GREYKITE_FORECAST,MOVING_AVG_4WEEK_FORECAST,TRAINING_WEEKS_USED,TRAINING_END_DATE,GAP_WEEKS
2024-01-23,TX Irving,PM,Production,88.84,,84.9875,105,2024-01-09,1
2024-01-30,AZ Phoenix,AM,Production,85.66,,78.1025,106,2024-01-16,1
2024-01-30,AZ Phoenix,PM,Production,76.18,,76.445,106,2024-01-16,1
2024-01-30,CO Aurora,AM,Production,81.02,,84.33,104,2024-01-16,1
2024-01-30,CO Aurora,PM,Production,86.29,,81.89,104,2024-01-16,1
2024-01-30,GA Newnan,AM,Production,84.47,,83.2825,107,2024-01-16,1
2024-01-30,GA Newnan,PM,Production,84.28,,76.50750000000001,107,2024-01-16,1
2024-01-30,NJ Newark Lister Ave,AM,Production,89.4,,86.065,106,2024-01-16,1
2024-01-30,NJ Newark Lister Ave,PM,Production,90.22,,82.86999999999999,106,2024-01-16,1
2024-01-30,NJ Swedesboro Commerce Blvd,AM,Production,88.28,,80.8,104,2024-01-16,1
2024-01-30,NJ Swedesboro Commerce Blvd,PM,Production,90.27,,83.6475,104,2024-01-16,1
2024-01-30,TX Grand Prairie Post and Paddock,AM,Production,79.79,,85.345,106,2024-01-16,1
2024-01-30,TX Grand Prairie Post and Paddock,PM,Production,84.49,,86.505,106,2024-01-16,1
2024-01-30,TX Irving,AM,Production,88.55,,87.735,106,2024-01-16,1
2024-01-30,TX Irving,PM,Production,88.59,,87.085,106,2024-01-16,1
2024-02-06,AZ Phoenix,AM,Production,85.51,,81.51,107,2024-01-23,1
2024-02-06,AZ Phoenix,PM,Production,80.07,,79.19,107,2024-01-23,1
2024-02-06,CO Aurora,AM,Production,87.41,,85.905,105,2024-01-23,1
2024-02-06,CO Aurora,PM,Production,82.08,,84.3475,105,2024-01-23,1
2024-02-06,GA Newnan,AM,Production,83.61,,84.2475,108,2024-01-23,1
2024-02-06,GA Newnan,PM,Production,83.33,,77.62,108,2024-01-23,1
2024-02-06,NJ Newark Lister Ave,AM,Production,93.21,,87.92999999999999,107,2024-01-23,1
2024-02-06,NJ Newark Lister Ave,PM,Production,84.93,,85.195,107,2024-01-23,1
2024-02-06,NJ Swedesboro Commerce Blvd,AM,Production,87.11,,83.935,105,2024-01-23,1
2024-02-06,NJ Swedesboro Commerce Blvd,PM,Production,91.75,,86.485,105,2024-01-23,1
2024-02-06,TX Grand Prairie Post and Paddock,AM,Production,83.66,,86.04,107,2024-01-23,1
2024-02-06,TX Grand Prairie Post and Paddock,PM,Production,77.12,,82.535,107,2024-01-23,1
2024-02-06,TX Irving,AM,Production,90.82,,88.6225,107,2024-01-23,1
2024-02-06,TX Irving,PM,Production,88.03,,87.58250000000001,107,2024-01-23,1
2024-02-13,AZ Phoenix,AM,Production,84.01,,83.7775,108,2024-01-30,1
2024-02-13,AZ Phoenix,PM,Production,80.93,,78.5375,108,2024-01-30,1
2024-02-13,CO Aurora,AM,Production,88.93,,85.9675,106,2024-01-30,1
2024-02-13,CO Aurora,PM,Production,89.49,,86.53500000000001,106,2024-01-30,1
2024-02-13,GA Newnan,AM,Production,82.91,,84.5425,109,2024-01-30,1
2024-02-13,GA Newnan,PM,Production,82.33,,79.51,109,2024-01-30,1
2024-02-13,NJ Newark Lister Ave,AM,Production,90.91,,89.38999999999999,108,2024-01-30,1
2024-02-13,NJ Newark Lister Ave,PM,Production,89.31,,87.8875,108,2024-01-30,1
2024-02-13,NJ Swedesboro Commerce Blvd,AM,Production,88.7,,85.2575,106,2024-01-30,1
2024-02-13,NJ Swedesboro Commerce Blvd,PM,Production,88.79,,88.12249999999999,106,2024-01-30,1
2024-02-13,TX Grand Prairie Post and Paddock,AM,Production,86.95,,84.3675,108,2024-01-30,1
2024-02-13,TX Grand Prairie Post and Paddock,PM,Production,81.5,,83.3625,108,2024-01-30,1
2024-02-13,TX Irving,AM,Production,90.79,,89.0425,108,2024-01-30,1
2024-02-13,TX Irving,PM,Production,86.67,,88.0225,108,2024-01-30,1
2024-02-20,AZ Phoenix,AM,Production,83.36,,84.7175,109,2024-02-06,1
2024-02-20,AZ Phoenix,PM,Production,84.18,,79.22749999999999,109,2024-02-06,1
2024-02-20,CO Aurora,AM,Production,89.09,,85.975,107,2024-02-06,1
2024-02-20,CO Aurora,PM,Production,91.24,,86.3175,107,2024-02-06,1
2024-02-20,GA Newnan,AM,Production,86.41,,84.4325,110,2024-02-06,1
2024-02-20,GA Newnan,PM,Production,81.53,,82.7375,110,2024-02-06,1
2024-02-20,NJ Newark Lister Ave,AM,Production,92.98,,90.17999999999999,109,2024-02-06,1
2024-02-20,NJ Newark Lister Ave,PM,Production,87.3,,87.295,109,2024-02-06,1
2024-02-20,NJ Swedesboro Commerce Blvd,AM,Production,90.49,,86.4275,107,2024-02-06,1
2024-02-20,NJ Swedesboro Commerce Blvd,PM,Production,91.77,,89.5825,107,2024-02-06,1
2024-02-20,TX Grand Prairie Post and Paddock,AM,Production,83.99,,82.625,109,2024-02-06,1
2024-02-20,TX Grand Prairie Post and Paddock,PM,Production,78.24,,81.5275,109,2024-02-06,1
2024-02-20,TX Irving,AM,Production,87.96,,89.8075,109,2024-02-06,1
2024-02-20,TX Irving,PM,Production,89.65,,89.02250000000001,109,2024-02-06,1
2024-02-27,AZ Phoenix,AM,Production,83.27,,85.11,110,2024-02-13,1
2024-02-27,AZ Phoenix,PM,Production,82.92,,79.66,110,2024-02-13,1
2024-02-27,CO Aurora,AM,Production,90.93,,86.73500000000001,108,2024-02-13,1
2024-02-27,CO Aurora,PM,Production,84.42,,86.795,108,2024-02-13,1
2024-02-27,GA Newnan,AM,Production,87.88,,84.4025,111,2024-02-13,1
2024-02-27,GA Newnan,PM,Production,83.57,,83.205,111,2024-02-13,1
2024-02-27,NJ Newark Lister Ave,AM,Production,91.97,,90.90249999999999,110,2024-02-13,1
2024-02-27,NJ Newark Lister Ave,PM,Production,88.03,,87.64500000000001,110,2024-02-13,1
2024-02-27,NJ Swedesboro Commerce Blvd,AM,Production,90.42,,88.265,108,2024-02-13,1
2024-02-27,NJ Swedesboro Commerce Blvd,PM,Production,91.72,,90.4075,108,2024-02-13,1
2024-02-27,TX Grand Prairie Post and Paddock,AM,Production,85.28,,83.8375,110,2024-02-13,1
2024-02-27,TX Grand Prairie Post and Paddock,PM,Production,77.68,,81.6375,110,2024-02-13,1
2024-02-27,TX Irving,AM,Production,91.1,,89.5925,110,2024-02-13,1
2024-02-27,TX Irving,PM,Production,89.41,,88.0325,110,2024-02-13,1
2024-03-05,AZ Phoenix,AM,Production,87.45,,84.635,111,2024-02-20,1
2024-03-05,AZ Phoenix,PM,Production,83.79,,80.34,111,2024-02-20,1
2024-03-05,CO Aurora,AM,Production,91.98,,86.6125,109,2024-02-20,1
2024-03-05,CO Aurora,PM,Production,89.54,,87.275,109,2024-02-20,1
2024-03-05,GA Newnan,AM,Production,85.26,,84.35,112,2024-02-20,1
2024-03-05,GA Newnan,PM,Production,85.6,,82.8675,112,2024-02-20,1
2024-03-05,NJ Newark Lister Ave,AM,Production,90.89,,91.625,111,2024-02-20,1
2024-03-05,NJ Newark Lister Ave,PM,Production,88.52,,87.94,111,2024-02-20,1
2024-03-05,NJ Swedesboro Commerce Blvd,AM,Production,91.18,,88.645,109,2024-02-20,1
2024-03-05,NJ Swedesboro Commerce Blvd,PM,Production,91.97,,90.645,109,2024-02-20,1
2024-03-05,TX Grand Prairie Post and Paddock,AM,Production,88.15,,83.5975,111,2024-02-20,1
2024-03-05,TX Grand Prairie Post and Paddock,PM,Production,82.5,,80.3375,111,2024-02-20,1
2024-03-05,TX Irving,AM,Production,90.49,,89.53,111,2024-02-20,1
2024-03-05,TX Irving,PM,Production,89.15,,88.235,111,2024-02-20,1
2024-03-12,AZ Phoenix,AM,Production,83.21,,84.0375,112,2024-02-27,1
2024-03-12,AZ Phoenix,AM,Quality,76.71,,79.53,1,2024-02-27,1
2024-03-12,AZ Phoenix,AM,Shipping,85.61,,88.14,1,2024-02-27,1
2024-03-12,AZ Phoenix,AM,Warehouse,80.91,,84.71,1,2024-02-27,1
2024-03-12,AZ Phoenix,PM,Production,81.11,,82.025,112,2024-02-27,1
2024-03-12,AZ Phoenix,PM,Quality,88.29,,89.42,1,2024-02-27,1
2024-03-12,AZ Phoenix,PM,Shipping,87.67,,94.64,1,2024-02-27,1
2024-03-12,AZ Phoenix,PM,Warehouse,88.57,,86.61,1,2024-02-27,1
2024-03-12,CO Aurora,AM,Production,89.46,,89.09,110,2024-02-27,1
2024-03-12,CO Aurora,AM,Quality,80.0,,92.0,1,2024-02-27,1
2024-03-12,CO Aurora,AM,Shipping,80.0,,100.0,1,2024-02-27,1
2024-03-12,CO Aurora,AM,Warehouse,83.08,,96.15,1,2024-02-27,1
2024-03-12,CO Aurora,PM,Production,85.37,,86.80749999999999,110,2024-02-27,1
2024-03-12,CO Aurora,PM,Quality,90.0,,86.21,1,2024-02-27,1
2024-03-12,CO Aurora,PM,Shipping,100.0,,100.0,1,2024-02-27,1
2024-03-12,CO Aurora,PM,Warehouse,76.0,,91.11,1,2024-02-27,1
2024-03-12,GA Newnan,AM,Production,86.14,,85.20249999999999,113,2024-02-27,1
2024-03-12,GA Newnan,AM,Shipping,71.43,,84.62,1,2024-02-27,1
2024-03-12,GA Newnan,AM,Warehouse,86.8,,89.44,1,2024-02-27,1
2024-03-12,GA Newnan,PM,Production,86.04,,82.69,113,2024-02-27,1
2024-03-12,GA Newnan,PM,Shipping,89.86,,81.25,1,2024-02-27,1
2024-03-12,GA Newnan,PM,Warehouse,84.32,,87.71,1,2024-02-27,1
2024-03-12,NJ Newark Lister Ave,AM,Production,90.18,,92.26749999999998,112,2024-02-27,1
2024-03-12,NJ Newark Lister Ave,AM,Quality,94.65,,85.98,1,2024-02-27,1
2024-03-12,NJ Newark Lister Ave,AM,Shipping,89.58,,86.22,1,2024-02-27,1
2024-03-12,NJ Newark Lister Ave,AM,Warehouse,91.74,,86.89,1,2024-02-27,1
2024-03-12,NJ Newark Lister Ave,PM,Production,90.89,,87.3925,112,2024-02-27,1
2024-03-12,NJ Newark Lister Ave,PM,Quality,95.17,,91.94,1,2024-02-27,1
2024-03-12,NJ Newark Lister Ave,PM,Shipping,102.31,,90.6,1,2024-02-27,1
2024-03-12,NJ Newark Lister Ave,PM,Warehouse,87.43,,90.54,1,2024-02-27,1
2024-03-12,NJ Swedesboro Commerce Blvd,AM,Production,89.71,,89.18,110,2024-02-27,1
2024-03-12,NJ Swedesboro Commerce Blvd,AM,Quality,80.41,,74.67,1,2024-02-27,1
2024-03-12,NJ Swedesboro Commerce Blvd,AM,Shipping,88.68,,77.36,1,2024-02-27,1
2024-03-12,NJ Swedesboro Commerce Blvd,AM,Warehouse,89.29,,85.6,1,2024-02-27,1
2024-03-12,NJ Swedesboro Commerce Blvd,PM,Production,89.86,,91.00750000000001,110,2024-02-27,1
2024-03-12,NJ Swedesboro Commerce Blvd,PM,Quality,94.12,,87.93,1,2024-02-27,1
2024-03-12,NJ Swedesboro Commerce Blvd,PM,Shipping,89.58,,75.56,1,2024-02-27,1
2024-03-12,NJ Swedesboro Commerce Blvd,PM,Warehouse,81.32,,75.0,1,2024-02-27,1
2024-03-12,TX Grand Prairie Post and Paddock,AM,Production,84.74,,84.97,112,2024-02-27,1
2024-03-12,TX Grand Prairie Post and Paddock,AM,Shipping,81.82,,100.0,1,2024-02-27,1
2024-03-12,TX Grand Prairie Post and Paddock,AM,Warehouse,87.5,,90.32,1,2024-02-27,1
2024-03-12,TX Grand Prairie Post and Paddock,PM,Production,83.37,,78.63499999999999,112,2024-02-27,1
2024-03-12,TX Grand Prairie Post and Paddock,PM,Shipping,82.98,,79.17,1,2024-02-27,1
2024-03-12,TX Grand Prairie Post and Paddock,PM,Warehouse,94.0,,70.59,1,2024-02-27,1
2024-03-12,TX Irving,AM,Production,88.89,,90.16749999999999,112,2024-02-27,1
2024-03-12,TX Irving,AM,Quality,91.3,,89.41,1,2024-02-27,1
2024-03-12,TX Irving,AM,Shipping,81.82,,85.71,1,2024-02-27,1
2024-03-12,TX Irving,AM,Warehouse,91.46,,86.84,1,2024-02-27,1
2024-03-12,TX Irving,PM,Production,86.45,,88.44,112,2024-02-27,1
2024-03-12,TX Irving,PM,Quality,82.93,,89.93,1,2024-02-27,1
2024-03-12,TX Irving,PM,Shipping,92.78,,91.95,1,2024-02-27,1
2024-03-12,TX Irving,PM,Warehouse,90.23,,91.33,1,2024-02-27,1
2024-03-19,AZ Phoenix,AM,Production,84.73,,84.52250000000001,113,2024-03-05,1
2024-03-19,AZ Phoenix,AM,Quality,73.97,,76.925,2,2024-03-05,1
2024-03-19,AZ Phoenix,AM,Shipping,83.57,,87.91,2,2024-03-05,1
2024-03-19,AZ Phoenix,AM,Warehouse,80.09,,80.025,2,2024-03-05,1
2024-03-19,AZ Phoenix,PM,Production,81.35,,82.95500000000001,113,2024-03-05,1
2024-03-19,AZ Phoenix,PM,Quality,80.18,,85.225,2,2024-03-05,1
2024-03-19,AZ Phoenix,PM,Shipping,93.85,,94.38,2,2024-03-05,1
2024-03-19,AZ Phoenix,PM,Warehouse,87.41,,87.56,2,2024-03-05,1
2024-03-19,CO Aurora,AM,Production,87.07,,90.23250000000002,111,2024-03-05,1
2024-03-19,CO Aurora,AM,Quality,86.67,,90.16499999999999,2,2024-03-05,1
2024-03-19,CO Aurora,AM,Shipping,60.0,,86.36500000000001,2,2024-03-05,1
2024-03-19,CO Aurora,AM,Warehouse,90.77,,93.46000000000001,2,2024-03-05,1
2024-03-19,CO Aurora,PM,Production,90.3,,88.6725,111,2024-03-05,1
2024-03-19,CO Aurora,PM,Quality,90.0,,83.10499999999999,2,2024-03-05,1
2024-03-19,CO Aurora,PM,Shipping,100.0,,100.0,2,2024-03-05,1
2024-03-19,CO Aurora,PM,Warehouse,89.8,,95.555,2,2024-03-05,1
2024-03-19,GA Newnan,AM,Production,84.26,,85.615,114,2024-03-05,1
2024-03-19,GA Newnan,AM,Shipping,78.18,,82.91,2,2024-03-05,1
2024-03-19,GA Newnan,AM,Warehouse,86.93,,86.22,2,2024-03-05,1
2024-03-19,GA Newnan,PM,Production,83.93,,83.25750000000001,114,2024-03-05,1
2024-03-19,GA Newnan,PM,Shipping,88.24,,84.745,2,2024-03-05,1
2024-03-19,GA Newnan,PM,Warehouse,85.79,,85.305,2,2024-03-05,1
2024-03-19,NJ Newark Lister Ave,AM,Production,89.73,,91.6875,113,2024-03-05,1
2024-03-19,NJ Newark Lister Ave,AM,Quality,95.24,,87.64,2,2024-03-05,1
2024-03-19,NJ Newark Lister Ave,AM,Shipping,92.5,,88.625,2,2024-03-05,1
2024-03-19,NJ Newark Lister Ave,AM,Warehouse,90.95,,87.91499999999999,2,2024-03-05,1
2024-03-19,NJ Newark Lister Ave,PM,Production,88.47,,88.28999999999999,113,2024-03-05,1
2024-03-19,NJ Newark Lister Ave,PM,Quality,88.03,,89.89,2,2024-03-05,1
2024-03-19,NJ Newark Lister Ave,PM,Shipping,86.33,,91.84,2,2024-03-05,1
2024-03-19,NJ Newark Lister Ave,PM,Warehouse,86.96,,89.34,2,2024-03-05,1
2024-03-19,NJ Swedesboro Commerce Blvd,AM,Production,87.25,,90.1975,111,2024-03-05,1
2024-03-19,NJ Swedesboro Commerce Blvd,AM,Quality,92.0,,81.015,2,2024-03-05,1
2024-03-19,NJ Swedesboro Commerce Blvd,AM,Shipping,81.25,,81.305,2,2024-03-05,1
2024-03-19,NJ Swedesboro Commerce Blvd,AM,Warehouse,92.14,,88.9,2,2024-03-05,1
2024-03-19,NJ Swedesboro Commerce Blvd,PM,Production,88.72,,91.0625,111,2024-03-05,1
2024-03-19,NJ Swedesboro Commerce Blvd,PM,Quality,96.92,,85.14,2,2024-03-05,1
2024-03-19,NJ Swedesboro Commerce Blvd,PM,Shipping,87.5,,75.78,2,2024-03-05,1
2024-03-19,NJ Swedesboro Commerce Blvd,PM,Warehouse,80.23,,75.92,2,2024-03-05,1
2024-03-19,TX Grand Prairie Post and Paddock,AM,Production,84.9,,86.0925,113,2024-03-05,1
2024-03-19,TX Grand Prairie Post and Paddock,AM,Shipping,95.0,,95.455,2,2024-03-05,1
2024-03-19,TX Grand Prairie Post and Paddock,AM,Warehouse,89.0,,83.62,2,2024-03-05,1
2024-03-19,TX Grand Prairie Post and Paddock,PM,Production,80.43,,79.97999999999999,113,2024-03-05,1
2024-03-19,TX Grand Prairie Post and Paddock,PM,Shipping,80.0,,78.045,2,2024-03-05,1
2024-03-19,TX Grand Prairie Post and Paddock,PM,Warehouse,92.31,,75.68,2,2024-03-05,1
2024-03-19,TX Irving,AM,Production,90.77,,90.085,113,2024-03-05,1
2024-03-19,TX Irving,AM,Quality,85.64,,87.115,2,2024-03-05,1
2024-03-19,TX Irving,AM,Shipping,82.11,,85.925,2,2024-03-05,1
2024-03-19,TX Irving,AM,Warehouse,86.16,,87.125,2,2024-03-05,1
2024-03-19,TX Irving,PM,Production,88.92,,88.72000000000001,113,2024-03-05,1
2024-03-19,TX Irving,PM,Quality,82.72,,91.025,2,2024-03-05,1
2024-03-19,TX Irving,PM,Shipping,93.75,,93.935,2,2024-03-05,1
2024-03-19,TX Irving,PM,Warehouse,90.61,,95.66499999999999,2,2024-03-05,1
2024-03-26,AZ Phoenix,AM,Production,84.02,,84.32249999999999,114,2024-03-12,1
2024-03-26,AZ Phoenix,AM,Quality,79.31,,76.85333333333334,3,2024-03-12,1
2024-03-26,AZ Phoenix,AM,Shipping,88.15,,87.14333333333333,3,2024-03-12,1
2024-03-26,AZ Phoenix,AM,Warehouse,77.62,,80.32,3,2024-03-12,1
2024-03-26,AZ Phoenix,PM,Production,80.21,,83.0,114,2024-03-12,1
2024-03-26,AZ Phoenix,PM,Quality,81.2,,86.24666666666667,3,2024-03-12,1
2024-03-26,AZ Phoenix,PM,Shipping,89.04,,92.14333333333333,3,2024-03-12,1
2024-03-26,AZ Phoenix,PM,Warehouse,85.82,,87.89666666666666,3,2024-03-12,1
2024-03-26,CO Aurora,AM,Production,87.1,,90.365,112,2024-03-12,1
2024-03-26,CO Aurora,AM,Quality,78.33,,86.77666666666666,3,2024-03-12,1
2024-03-26,CO Aurora,AM,Shipping,80.0,,84.24333333333334,3,2024-03-12,1
2024-03-26,CO Aurora,AM,Warehouse,85.51,,90.0,3,2024-03-12,1
2024-03-26,CO Aurora,PM,Production,90.75,,87.6425,112,2024-03-12,1
2024-03-26,CO Aurora,PM,Quality,83.33,,85.40333333333332,3,2024-03-12,1
2024-03-26,CO Aurora,PM,Shipping,50.0,,100.0,3,2024-03-12,1
2024-03-26,CO Aurora,PM,Warehouse,88.0,,89.03666666666668,3,2024-03-12,1
2024-03-26,GA Newnan,AM,Production,87.3,,86.4225,115,2024-03-12,1
2024-03-26,GA Newnan,AM,Shipping,61.62,,79.08333333333333,3,2024-03-12,1
2024-03-26,GA Newnan,AM,Warehouse,80.4,,86.41333333333334,3,2024-03-12,1
2024-03-26,GA Newnan,PM,Production,86.79,,84.185,115,2024-03-12,1
2024-03-26,GA Newnan,PM,Shipping,80.0,,86.45,3,2024-03-12,1
2024-03-26,GA Newnan,PM,Warehouse,85.11,,84.97666666666667,3,2024-03-12,1
2024-03-26,NJ Newark Lister Ave,AM,Production,90.32,,91.505,114,2024-03-12,1
2024-03-26,NJ Newark Lister Ave,AM,Quality,84.57,,89.97666666666667,3,2024-03-12,1
2024-03-26,NJ Newark Lister Ave,AM,Shipping,89.56,,88.94333333333333,3,2024-03-12,1
2024-03-26,NJ Newark Lister Ave,AM,Warehouse,86.27,,89.19,3,2024-03-12,1
2024-03-26,NJ Newark Lister Ave,PM,Production,83.35,,88.685,114,2024-03-12,1
2024-03-26,NJ Newark Lister Ave,PM,Quality,80.95,,91.64999999999999,3,2024-03-12,1
2024-03-26,NJ Newark Lister Ave,PM,Shipping,82.82,,95.33,3,2024-03-12,1
2024-03-26,NJ Newark Lister Ave,PM,Warehouse,86.49,,88.70333333333333,3,2024-03-12,1
2024-03-26,NJ Swedesboro Commerce Blvd,AM,Production,87.69,,90.45,112,2024-03-12,1
2024-03-26,NJ Swedesboro Commerce Blvd,AM,Quality,86.87,,80.81333333333333,3,2024-03-12,1
2024-03-26,NJ Swedesboro Commerce Blvd,AM,Shipping,93.33,,83.76333333333334,3,2024-03-12,1
2024-03-26,NJ Swedesboro Commerce Blvd,AM,Warehouse,84.17,,89.03000000000002,3,2024-03-12,1
2024-03-26,NJ Swedesboro Commerce Blvd,PM,Production,85.56,,91.33,112,2024-03-12,1
2024-03-26,NJ Swedesboro Commerce Blvd,PM,Quality,93.85,,88.13333333333333,3,2024-03-12,1
2024-03-26,NJ Swedesboro Commerce Blvd,PM,Shipping,97.73,,80.38,3,2024-03-12,1
2024-03-26,NJ Swedesboro Commerce Blvd,PM,Warehouse,84.27,,77.72,3,2024-03-12,1
2024-03-26,TX Grand Prairie Post and Paddock,AM,Production,82.37,,85.53999999999999,114,2024-03-12,1
2024-03-26,TX Grand Prairie Post and Paddock,AM,Shipping,90.0,,90.91000000000001,3,2024-03-12,1
