WEEK_BEGIN,WEEK_NUMBER,WORK_LOCATION,SHIFT_TIME,DEPARTMENT_GROUP,ACTUAL_ATTENDANCE_RATE,GREYKITE_FORECAST,MOVING_AVG_4WEEK_FORECAST,SIX_WEEK_ROLLING_AVG,EXPONENTIAL_SMOOTHING
5/5/22,2022-W19,AZ Phoenix,PM,Production,66.71,67.48274042945442,64.28172,64.73223877,64.01052094
5/5/22,2022-W19,CO Aurora,AM,Production,77.93,80.82873940876446,82.78364,80.63432312,82.14873505
5/5/22,2022-W19,CO Aurora,PM,Production,82.05,82.48408877815517,84.18268,84.03422546,81.11239624
5/5/22,2022-W19,NJ Newark Lister Ave,AM,Production,76.75,77.54967528792048,76.444115,74.8015976,75.10948181
5/5/22,2022-W19,NJ Newark Lister Ave,PM,Production,72.14,75.50141941527963,72.95878,71.99898529,72.73802185
5/5/22,2022-W19,NJ Swedesboro Commerce Blvd,AM,Production,84.26,82.29435466845082,83.477806,85.68333435,82.25422668
5/5/22,2022-W19,NJ Swedesboro Commerce Blvd,PM,Production,89.18,83.17920481431638,69.201294,66.9197998,65.74372101
5/5/22,2022-W19,TX Irving,AM,Production,74.44,76.62974095148513,71.57214,69.72316742,71.97986603
5/5/22,2022-W19,TX Irving,PM,Production,78.19,77.41060532600576,73.99907,74.41371155,76.41355896
5/12/22,2022-W20,AZ Phoenix,AM,Production,67.52,68.69700379,65.86873,64.43251038,73.58163452
5/12/22,2022-W20,AZ Phoenix,PM,Production,65.9,67.27272201927228,64.90097,64.12345123,64.18491364
5/12/22,2022-W20,CO Aurora,AM,Production,78.84,80.97059022548446,82.27469,80.9104538,81.08648682
5/12/22,2022-W20,CO Aurora,PM,Production,82.28,81.62544092,82.09595,83.94418335,83.5240097
5/12/22,2022-W20,NJ Newark Lister Ave,AM,Production,79.1,78.32831709,76.227104,75.59075165,75.5955658
5/12/22,2022-W20,NJ Newark Lister Ave,PM,Production,78.68,75.7139748,72.559525,71.97473145,72.08586884
5/12/22,2022-W20,NJ Swedesboro Commerce Blvd,AM,Production,84.73,82.92635433,82.65553,84.2614975,81.60066223
5/12/22,2022-W20,NJ Swedesboro Commerce Blvd,PM,Production,90.53,84.01020825,71.74955,70.18657684,67.55921173
5/12/22,2022-W20,TX Irving,AM,Production,75.57,77.09101034728859,73.6405,72.02062225,77.71604919
5/12/22,2022-W20,TX Irving,PM,Production,76.45,78.34295191176346,75.921616,75.10713959,75.92326355
5/19/22,2022-W21,AZ Phoenix,AM,Production,65.87,71.34411941542662,68.120224,65.13250732,69.77685547
5/19/22,2022-W21,AZ Phoenix,PM,Production,69.94,70.46219879,65.264046,63.99087906,62.85024261
5/19/22,2022-W21,CO Aurora,AM,Production,80.91,81.31027898869701,81.84245,82.0291748,80.99577332
5/19/22,2022-W21,CO Aurora,PM,Production,85.3,81.91466228505344,80.502045,82.82022095,78.57142639
5/19/22,2022-W21,NJ Newark Lister Ave,AM,Production,79.36,79.95918948,75.65921,76.21645355,75.5708313
5/19/22,2022-W21,NJ Newark Lister Ave,PM,Production,79.74,77.79182903,71.438965,72.11624146,70.97478485
5/19/22,2022-W21,NJ Swedesboro Commerce Blvd,AM,Production,83.82,84.04776792338862,81.93583,82.4199295,82.26412201
5/19/22,2022-W21,NJ Swedesboro Commerce Blvd,PM,Production,89.1,85.33773379,74.38066,71.66699982,74.31082153
5/19/22,2022-W21,TX Irving,AM,Production,74.29,77.52539616436536,74.87722,73.6018219,78.12722015
5/19/22,2022-W21,TX Irving,PM,Production,78.16,79.99288079729456,76.798546,75.2336731,78.9826889
5/26/22,2022-W22,AZ Phoenix,AM,Production,67.47,71.10202853627344,70.262634,67.48914337,72.5419693
5/26/22,2022-W22,AZ Phoenix,PM,Production,64.19,69.89407299493789,64.40303,65.36974335,67.24793243
5/26/22,2022-W22,CO Aurora,AM,Production,79.74,79.28069080725918,81.957184,82.42451477,82.15196228
5/26/22,2022-W22,CO Aurora,PM,Production,83.53,79.67201961655663,80.860085,81.60469818,81.91425323
5/26/22,2022-W22,NJ Newark Lister Ave,AM,Production,81.72,79.75691108863704,75.232765,75.89971161,73.90367126
5/26/22,2022-W22,NJ Newark Lister Ave,PM,Production,74.67,75.33579199339827,73.40796,73.22584534,72.85825348
5/26/22,2022-W22,NJ Swedesboro Commerce Blvd,AM,Production,87.45,82.23665234368063,82.3169,82.94855499,83.30211639
5/26/22,2022-W22,NJ Swedesboro Commerce Blvd,PM,Production,87.52,83.14599894,78.75154,75.84951782,90.38461304
5/26/22,2022-W22,TX Irving,AM,Production,78.22,76.30424174,75.96683,74.71340179,72.7413559
5/26/22,2022-W22,TX Irving,PM,Production,83.06,78.56496214378056,78.64513,77.0490036,76.00399017
6/2/22,2022-W23,AZ Phoenix,AM,Production,68.98,71.25415738675933,72.04994,69.6673584,71.04008484
6/2/22,2022-W23,AZ Phoenix,PM,Production,69.97,69.26606451586194,68.385315,68.01065063,76.37338257
6/2/22,2022-W23,CO Aurora,AM,Production,81.68,81.68368973993991,81.193924,81.87187958,80.18115234
6/2/22,2022-W23,CO Aurora,PM,Production,83.9,82.12500705455149,81.25386,81.19367218,81.9576416
6/2/22,2022-W23,NJ Newark Lister Ave,AM,Production,83.35,81.52926587205673,76.02916,75.86530304,74.67552185
6/2/22,2022-W23,NJ Newark Lister Ave,PM,Production,83.79,76.14990945239678,74.49026,73.80807495,75.63552094
6/2/22,2022-W23,NJ Swedesboro Commerce Blvd,AM,Production,89.87,82.95508382068405,84.066246,83.90144348,88.79518127
6/2/22,2022-W23,NJ Swedesboro Commerce Blvd,PM,Production,89.98,82.44678757640011,83.40132,79.49351501,76.98162842
6/2/22,2022-W23,TX Irving,AM,Production,76.05,77.41575192,76.956,75.17990875,75.70919037
6/2/22,2022-W23,TX Irving,PM,Production,84.36,78.73848027653348,78.32828,77.41616058,77.89246368
6/9/22,2022-W24,AZ Phoenix,AM,Production,70.54,71.30953556679766,70.03963,69.88583374,67.26121521
6/9/22,2022-W24,AZ Phoenix,PM,Production,68.41,69.37713320098382,68.81183,66.84570313,68.66869354
6/9/22,2022-W24,CO Aurora,AM,Production,84.52,83.31814921,80.49383,80.74533844,79.62689972
6/9/22,2022-W24,CO Aurora,PM,Production,85.02,80.31509662,81.56813,81.42886353,82.54564667
6/9/22,2022-W24,NJ Newark Lister Ave,AM,Production,85.59,83.56029561,76.29149,75.92011261,76.74731445
6/9/22,2022-W24,NJ Newark Lister Ave,PM,Production,78.45,78.76774120464879,75.48003,74.34030914,75.93467712
6/9/22,2022-W24,NJ Swedesboro Commerce Blvd,AM,Production,88.8,84.68801875,87.565216,85.34171295,89.29107666
6/9/22,2022-W24,NJ Swedesboro Commerce Blvd,PM,Production,83.81,83.31309739946921,87.952576,82.88231659,92.40782928
6/9/22,2022-W24,TX Irving,AM,Production,79.85,80.16438114656542,76.51473,75.9719162,76.03479767
6/9/22,2022-W24,TX Irving,PM,Production,82.22,79.72148412289532,79.05086,78.65792847,77.00784302
6/16/22,2022-W25,AZ Phoenix,AM,Production,72.04,77.84472503579298,69.55597,70.11323547,67.46572113
6/16/22,2022-W25,AZ Phoenix,PM,Production,69.96,73.84096495309804,69.365204,67.58435822,67.48986816
6/16/22,2022-W25,CO Aurora,AM,Production,83.03,80.70192344206963,79.73904,80.00470734,77.79479218
6/16/22,2022-W25,CO Aurora,PM,Production,82.15,85.14352515954907,83.84869,82.44534302,85.50105286
6/16/22,2022-W25,NJ Newark Lister Ave,AM,Production,83.33,83.92638067172939,77.08633,76.62749481,77.49452209
6/16/22,2022-W25,NJ Newark Lister Ave,PM,Production,82.68,78.96954103223848,77.27026,74.86309052,75.70781708
6/16/22,2022-W25,NJ Swedesboro Commerce Blvd,AM,Production,89.31,73.14345910766754,90.28981,86.7441864,87.03014374
6/16/22,2022-W25,NJ Swedesboro Commerce Blvd,PM,Production,85.37,76.51691161363827,91.78218,86.50963593,93.14469147
6/16/22,2022-W25,TX Irving,AM,Production,78.64,82.66901875320677,75.79507,76.54384613,75.74832153
6/16/22,2022-W25,TX Irving,PM,Production,79.5,82.63229921,78.379456,78.25801849,77.03445435
6/23/22,2022-W26,AZ Phoenix,AM,Production,72.03,72.59740512900665,67.9392,68.85102844,67.3132019
6/23/22,2022-W26,AZ Phoenix,PM,Production,70.13,69.67881759122832,69.95562,68.87761688,70.04551697
6/23/22,2022-W26,CO Aurora,AM,Production,82.3,82.29302445970569,78.635345,80.06321716,80.22270203
6/23/22,2022-W26,CO Aurora,PM,Production,80.64,83.18831150657513,85.06472,83.48842621,84.29699707
6/23/22,2022-W26,NJ Newark Lister Ave,AM,Production,83.55,82.47965417410809,79.06374,77.7223053,77.03603363
6/23/22,2022-W26,NJ Newark Lister Ave,PM,Production,77.12,78.63957800942237,77.43687,76.5072403,75.67072296
6/23/22,2022-W26,NJ Swedesboro Commerce Blvd,AM,Production,85.09,85.96854520536503,89.850296,87.65600586,88.05952454
6/23/22,2022-W26,NJ Swedesboro Commerce Blvd,PM,Production,82.06,81.30913637319436,91.83809,89.24242401,84.11904907
6/23/22,2022-W26,TX Irving,AM,Production,79.22,79.84555006263038,75.54186,76.02339172,75.10940552
6/23/22,2022-W26,TX Irving,PM,Production,80.3,78.27097388972545,78.60505,78.86794281,77.66051483
6/30/22,2022-W27,AZ Phoenix,AM,Production,69.3,70.39461416281219,65.60119,67.77878571,65.55358887
6/30/22,2022-W27,AZ Phoenix,PM,Production,68.76,67.47687742,67.212234,68.8952713,66.51069641
6/30/22,2022-W27,CO Aurora,AM,Production,81.42,79.12396178390779,79.17945,80.1444931,80.74230194
6/30/22,2022-W27,CO Aurora,PM,Production,84.44,80.14235185443596,85.59264,84.58805084,85.48931122
6/30/22,2022-W27,NJ Newark Lister Ave,AM,Production,82.79,79.94419041418399,79.99221,78.69446564,81.34185028
6/30/22,2022-W27,NJ Newark Lister Ave,PM,Production,73.76,72.68474796055666,76.83534,77.52809143,76.64770508
6/30/22,2022-W27,NJ Swedesboro Commerce Blvd,AM,Production,83.55,82.23775179042377,89.335304,88.96334076,87.56925201
6/30/22,2022-W27,NJ Swedesboro Commerce Blvd,PM,Production,81.87,77.19619480134531,91.53457,91.15691376,90.02497864
6/30/22,2022-W27,TX Irving,AM,Production,76.21,78.74054672357752,76.08374,75.99617767,75.07129669
6/30/22,2022-W27,TX Irving,PM,Production,77.1,74.64717354877213,79.9498,79.52843475,82.40154266
7/7/22,2022-W28,AZ Phoenix,AM,Production,74.19,72.85980428726648,66.289024,67.25880432,67.09686279
